institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.013	0.154	0.013	0.187
1	0.023	0.182	0.013	0.229
2	0.037	0.212	0.025	0.300
3	0.031	0.182	0.019	0.249
4	0.045	0.200	0.030	0.312
5	0.058	0.226	0.053	0.386
6	0.056	0.262	0.039	0.407
7	0.055	0.226	0.046	0.379
8	0.053	0.239	0.052	0.408
9	0.058	0.235	0.061	0.432
10	0.054	0.239	0.056	0.435
11	0.051	0.191	0.051	0.376
12	0.041	0.147	0.059	0.348
13	0.041	0.113	0.069	0.312
14	0.046	0.102	0.078	0.301
15	0.043	0.091	0.068	0.281
16	0.044	0.096	0.064	0.266
17	0.038	0.069	0.072	0.222
18	0.039	0.072	0.064	0.219
19	0.036	0.089	0.057	0.215
20	0.033	0.060	0.060	0.180
21	0.033	0.067	0.050	0.174
22	0.033	0.088	0.035	0.184
23	0.050	0.156	0.042	0.307
24	0.048	0.219	0.035	0.364
25	0.054	0.248	0.023	0.392
26	0.056	0.227	0.046	0.390
27	0.067	0.337	0.040	0.511
28	0.082	0.327	0.042	0.523
29	0.089	0.399	0.053	0.635
30	0.060	0.238	0.071	0.429
31	0.022	0.091	0.017	0.142
32	0.107	0.513	0.015	0.714
