institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.046	0.182	0.045	0.325
1	0.041	0.100	0.057	0.238
2	0.027	0.027	0.089	0.156
