institution_count	pct_pop_18_to_64_latinx	pct_pop_18_to_64_white	pct_pop_18_to_64_black	pct_pop_18_to_64_all
0	1.0023966177658494	1.0091725759858652	0.9979065994684656	1.0035289942648555
1	0.4471035735715968	0.28159607896865085	0.45930969769720115	0.3852324811788545
2	0.28045701747214147	0.19039251466837653	0.28526156078066295	0.24802563844924597
3	0.1765758646938235	0.16145010253236727	0.15915876938564022	0.16947509112689121
4	0.12360559297691197	0.1314609563832562	0.10716423476642331	0.1262503347543513
5	0.08532827652109011	0.10666615303154445	0.07261684933806566	0.09400829610592558
6	0.05721846406362841	0.07933093582386748	0.04858069270466374	0.06602624625693891
7	0.017792332219256596	0.03356809925083435	0.020012318777786572	0.025126978859301694
8	0.0012732991812455915	0.0025911872195221513	0.0008965969770897105	0.001779395009602982
9	6.68646335062154e-05	0.00020847288264092155	0.00010729387738090846	0.0001310132963984711
