institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.009	0.107	0.011	0.128
1	0.009	0.142	0.007	0.163
2	0.010	0.159	0.007	0.181
3	0.023	0.137	0.008	0.171
4	0.029	0.218	0.012	0.296
5	0.029	0.212	0.017	0.271
6	0.015	0.177	0.010	0.207
7	0.022	0.179	0.013	0.223
8	0.025	0.185	0.013	0.233
9	0.017	0.162	0.012	0.198
10	0.016	0.140	0.011	0.174
11	0.018	0.146	0.014	0.184
12	0.019	0.129	0.016	0.170
13	0.018	0.172	0.016	0.214
14	0.021	0.140	0.019	0.191
15	0.027	0.188	0.022	0.254
16	0.040	0.285	0.022	0.382
17	0.045	0.242	0.047	0.423
18	0.048	0.202	0.071	0.411
19	0.054	0.230	0.046	0.405
20	0.062	0.225	0.044	0.387
21	0.050	0.211	0.052	0.369
22	0.049	0.153	0.061	0.316
23	0.049	0.179	0.045	0.330
24	0.043	0.036	0.039	0.135
25	0.045	0.047	0.043	0.149
