institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.070	0.151	0.080	0.096	0.028	0.160	0.162	0.054	0.198	1.000
1	0.052	0.141	0.050	0.051	0.024	0.166	0.143	0.095	0.277	1.000
2	0.061	0.123	0.041	0.063	0.018	0.207	0.124	0.112	0.252	1.000
3	0.068	0.186	0.062	0.097	0.052	0.167	0.108	0.095	0.166	1.000
4	0.053	0.136	0.051	0.048	0.036	0.182	0.143	0.109	0.243	1.000
5	0.071	0.144	0.043	0.079	0.070	0.157	0.110	0.121	0.207	1.000
6	0.053	0.112	0.038	0.082	0.042	0.154	0.112	0.139	0.268	1.000
7	0.051	0.153	0.056	0.069	0.046	0.143	0.133	0.111	0.240	1.000
8	0.040	0.116	0.049	0.057	0.046	0.176	0.144	0.118	0.253	1.000
9	0.052	0.122	0.047	0.049	0.033	0.164	0.149	0.099	0.286	1.000
10	0.052	0.125	0.052	0.041	0.034	0.176	0.150	0.108	0.263	1.000
11	0.099	0.136	0.063	0.053	0.021	0.176	0.137	0.091	0.225	1.000
12	0.089	0.101	0.054	0.067	0.037	0.183	0.123	0.100	0.246	1.000
13	0.082	0.129	0.046	0.070	0.034	0.176	0.119	0.086	0.257	1.000
14	0.067	0.137	0.055	0.057	0.039	0.171	0.135	0.094	0.246	1.000
15	0.068	0.114	0.048	0.058	0.030	0.172	0.135	0.097	0.277	1.000
16	0.064	0.145	0.051	0.065	0.034	0.160	0.120	0.090	0.272	1.000
17	0.057	0.133	0.049	0.064	0.031	0.156	0.130	0.092	0.288	1.000
18	0.054	0.187	0.064	0.069	0.026	0.158	0.122	0.099	0.221	1.000
19	0.052	0.126	0.036	0.069	0.028	0.168	0.141	0.108	0.273	1.000
20	0.056	0.114	0.040	0.074	0.023	0.162	0.138	0.102	0.291	1.000
21	0.064	0.114	0.048	0.070	0.039	0.167	0.139	0.086	0.273	1.000
22	0.052	0.123	0.043	0.068	0.022	0.160	0.144	0.099	0.289	1.000
23	0.069	0.092	0.036	0.073	0.029	0.135	0.142	0.078	0.345	1.000
24	0.083	0.126	0.044	0.073	0.030	0.153	0.136	0.084	0.270	1.000
25	0.056	0.092	0.032	0.071	0.031	0.162	0.145	0.084	0.327	1.000
26	0.056	0.110	0.047	0.066	0.027	0.149	0.146	0.090	0.309	1.000
27	0.066	0.120	0.041	0.070	0.031	0.171	0.138	0.086	0.277	1.000
28	0.058	0.119	0.039	0.068	0.026	0.168	0.132	0.081	0.309	1.000
29	0.055	0.123	0.043	0.064	0.024	0.151	0.136	0.088	0.315	1.000
30	0.054	0.121	0.051	0.066	0.024	0.163	0.136	0.100	0.286	1.000
31	0.047	0.102	0.036	0.059	0.021	0.157	0.142	0.100	0.336	1.000
32	0.045	0.121	0.046	0.079	0.021	0.172	0.143	0.106	0.266	1.000
33	0.047	0.123	0.040	0.078	0.023	0.160	0.141	0.103	0.286	1.000
34	0.049	0.131	0.044	0.075	0.026	0.168	0.139	0.093	0.276	1.000
35	0.048	0.120	0.045	0.078	0.024	0.188	0.137	0.102	0.258	1.000
36	0.051	0.121	0.046	0.069	0.026	0.177	0.127	0.096	0.288	1.000
37	0.093	0.112	0.037	0.063	0.032	0.192	0.153	0.093	0.225	1.000
38	0.062	0.139	0.092	0.055	0.027	0.145	0.110	0.093	0.277	1.000
39	0.058	0.135	0.053	0.067	0.028	0.180	0.137	0.085	0.257	1.000
40	0.045	0.107	0.040	0.063	0.027	0.179	0.133	0.091	0.315	1.000
41	0.049	0.114	0.050	0.069	0.035	0.179	0.137	0.090	0.278	1.000
42	0.050	0.123	0.053	0.068	0.024	0.158	0.133	0.089	0.302	1.000
43	0.044	0.117	0.054	0.072	0.022	0.156	0.132	0.107	0.297	1.000
44	0.050	0.131	0.056	0.079	0.031	0.176	0.135	0.097	0.244	1.000
45	0.051	0.125	0.050	0.077	0.034	0.203	0.137	0.090	0.233	1.000
46	0.053	0.129	0.054	0.074	0.027	0.185	0.132	0.094	0.252	1.000
47	0.054	0.133	0.054	0.075	0.027	0.191	0.136	0.090	0.240	1.000
48	0.051	0.135	0.063	0.076	0.027	0.185	0.141	0.100	0.221	1.000
49	0.056	0.153	0.072	0.080	0.027	0.187	0.138	0.091	0.196	1.000
50	0.047	0.116	0.057	0.077	0.025	0.187	0.131	0.099	0.262	1.000
51	0.055	0.141	0.061	0.074	0.025	0.169	0.140	0.089	0.246	1.000
52	0.055	0.143	0.075	0.077	0.026	0.173	0.136	0.083	0.234	1.000
53	0.059	0.137	0.070	0.064	0.026	0.171	0.134	0.093	0.246	1.000
54	0.071	0.148	0.075	0.057	0.023	0.168	0.133	0.095	0.230	1.000
55	0.059	0.127	0.066	0.056	0.025	0.160	0.135	0.096	0.275	1.000
56	0.053	0.127	0.063	0.059	0.025	0.168	0.134	0.096	0.275	1.000
57	0.054	0.128	0.059	0.057	0.024	0.164	0.124	0.100	0.290	1.000
58	0.047	0.130	0.064	0.067	0.025	0.158	0.128	0.098	0.283	1.000
59	0.055	0.144	0.058	0.056	0.025	0.167	0.138	0.097	0.261	1.000
60	0.049	0.129	0.047	0.053	0.020	0.162	0.127	0.106	0.307	1.000
61	0.050	0.128	0.053	0.060	0.021	0.163	0.124	0.099	0.302	1.000
62	0.049	0.142	0.069	0.062	0.025	0.166	0.134	0.088	0.265	1.000
63	0.049	0.133	0.060	0.061	0.023	0.167	0.136	0.093	0.278	1.000
64	0.057	0.130	0.066	0.052	0.025	0.163	0.135	0.094	0.280	1.000
65	0.053	0.125	0.059	0.060	0.022	0.169	0.133	0.092	0.288	1.000
66	0.049	0.125	0.050	0.062	0.022	0.171	0.140	0.100	0.282	1.000
67	0.049	0.126	0.053	0.059	0.026	0.169	0.139	0.091	0.289	1.000
68	0.054	0.127	0.051	0.064	0.023	0.167	0.138	0.093	0.282	1.000
69	0.049	0.117	0.048	0.061	0.023	0.166	0.126	0.093	0.317	1.000
70	0.054	0.130	0.050	0.065	0.031	0.176	0.143	0.094	0.257	1.000
71	0.048	0.135	0.051	0.070	0.025	0.167	0.138	0.090	0.277	1.000
72	0.036	0.085	0.035	0.051	0.023	0.140	0.134	0.105	0.391	1.000
73	0.038	0.105	0.042	0.052	0.018	0.143	0.130	0.102	0.371	1.000
74	0.036	0.111	0.035	0.049	0.015	0.148	0.130	0.105	0.371	1.000
75	0.036	0.100	0.031	0.051	0.017	0.141	0.125	0.103	0.395	1.000
