institution_count	pct_pop_18_to_64_latinx	pct_pop_18_to_64_white	pct_pop_18_to_64_black	pct_pop_18_to_64_all
0	1.0023966177658494	1.0091725759858652	0.9979065994684654	1.0035289942648555
1	0.9583456596004969	0.9028325033662246	0.9634113745795204	0.9408175625972717
2	0.9019558934076712	0.789290936776078	0.9175807259979396	0.8670236702910098
3	0.8268490712557566	0.6553957854684404	0.837852320777597	0.768931130664435
4	0.7554072819223592	0.5704555166816331	0.7680055155713426	0.6911991069546807
5	0.6660444241823689	0.4383944871616704	0.6883733875262102	0.5841826644468213
6	0.5917531072181396	0.3348361867671769	0.6038159362314391	0.49043635759869847
7	0.5383351079182842	0.2578327063725261	0.5259028745986973	0.4194292336488355
8	0.5127270718680764	0.23561574165525936	0.4756892769133755	0.38907601779637513
9	0.47916516385275143	0.21784162193877724	0.42119262976252136	0.35811512418594343
10	0.4275554753023072	0.20607467960380133	0.36335274069450485	0.32302015126562633
11	0.2874252588888814	0.17275675765611823	0.27620310124348824	0.23995221332743974
12	0.1367479397534208	0.08734638367586632	0.12893973915612247	0.11728771173694671
13	0.05666618379996182	0.027548537848287622	0.04891946013432346	0.04374999673821918
14	0.01261154967101229	0.0019974669928786376	0.005910355025961081	0.006800238656655219
15	0.0003864436964113942	7.557400863924585e-05	0.00035723456344530804	0.00023553804373149142
