institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.014	0.141	0.011	0.170
1	0.025	0.178	0.015	0.231
2	0.013	0.137	0.010	0.166
3	0.020	0.133	0.015	0.174
4	0.018	0.139	0.018	0.183
5	0.021	0.166	0.015	0.212
6	0.029	0.213	0.018	0.275
7	0.033	0.239	0.020	0.309
8	0.032	0.241	0.019	0.314
9	0.038	0.263	0.016	0.344
10	0.050	0.312	0.022	0.421
11	0.052	0.298	0.025	0.414
12	0.047	0.270	0.031	0.390
13	0.050	0.278	0.030	0.390
14	0.046	0.228	0.030	0.338
15	0.062	0.309	0.032	0.442
16	0.056	0.233	0.037	0.357
17	0.048	0.170	0.034	0.291
18	0.049	0.191	0.044	0.317
19	0.062	0.235	0.037	0.399
20	0.058	0.223	0.052	0.381
21	0.061	0.224	0.048	0.418
22	0.055	0.208	0.055	0.444
23	0.051	0.177	0.091	0.418
24	0.054	0.216	0.064	0.418
25	0.053	0.191	0.052	0.369
26	0.049	0.136	0.067	0.338
27	0.041	0.096	0.060	0.245
28	0.038	0.083	0.071	0.230
29	0.051	0.195	0.039	0.337
