institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.010	0.199	0.003	0.214
1	0.006	0.151	0.012	0.171
2	0.008	0.093	0.014	0.120
3	0.014	0.164	0.009	0.193
4	0.019	0.135	0.013	0.182
5	0.019	0.152	0.008	0.185
6	0.031	0.176	0.010	0.239
7	0.045	0.216	0.012	0.301
8	0.026	0.190	0.018	0.246
9	0.021	0.145	0.014	0.189
10	0.027	0.172	0.015	0.224
11	0.025	0.254	0.023	0.309
12	0.020	0.182	0.014	0.223
13	0.018	0.161	0.011	0.197
14	0.016	0.168	0.006	0.197
15	0.020	0.169	0.009	0.205
16	0.022	0.183	0.008	0.221
17	0.026	0.167	0.012	0.215
18	0.020	0.160	0.011	0.197
19	0.023	0.201	0.008	0.242
20	0.018	0.164	0.010	0.200
21	0.021	0.165	0.009	0.204
22	0.019	0.149	0.012	0.187
23	0.021	0.127	0.012	0.165
24	0.016	0.134	0.011	0.167
25	0.009	0.088	0.007	0.108
26	0.022	0.178	0.009	0.214
27	0.016	0.132	0.019	0.172
28	0.019	0.163	0.012	0.202
29	0.019	0.158	0.014	0.199
30	0.021	0.171	0.012	0.212
31	0.020	0.193	0.014	0.236
32	0.019	0.135	0.016	0.175
33	0.020	0.158	0.014	0.201
34	0.018	0.152	0.015	0.194
35	0.019	0.161	0.014	0.202
36	0.020	0.172	0.018	0.220
37	0.026	0.194	0.016	0.251
38	0.028	0.217	0.014	0.276
39	0.035	0.253	0.017	0.328
40	0.032	0.218	0.015	0.285
41	0.035	0.223	0.017	0.296
42	0.034	0.218	0.016	0.287
43	0.042	0.313	0.014	0.397
44	0.028	0.194	0.027	0.266
45	0.033	0.218	0.022	0.292
46	0.035	0.260	0.024	0.341
47	0.049	0.265	0.020	0.360
48	0.039	0.226	0.027	0.313
49	0.045	0.257	0.029	0.359
50	0.044	0.256	0.027	0.352
51	0.058	0.266	0.031	0.405
52	0.058	0.256	0.047	0.423
53	0.054	0.199	0.051	0.373
54	0.046	0.158	0.041	0.300
55	0.042	0.119	0.101	0.326
