institution_count	pct_pop_18_to_64_latinx	pct_pop_18_to_64_white	pct_pop_18_to_64_black	pct_pop_18_to_64_all
0	1.0023966177658494	1.009172575985865	0.9979065994684655	1.0035289942648553
1	0.40523466661807384	0.24069142572848984	0.4007308947180098	0.3387823365514217
2	0.24841070150799716	0.15366966165247076	0.24960675542178243	0.21313355451896504
3	0.17405706558742712	0.11780601511189027	0.183012355256126	0.15593712816214095
4	0.11446364571741119	0.08837526257070599	0.12491488705234281	0.10850323717373506
5	0.06875517628434503	0.06787842707372069	0.08632734991704377	0.07420791613664011
6	0.04562985896915926	0.04837211247755915	0.06357999195036806	0.05209880146545402
7	0.028262376681346547	0.032940811533350496	0.041750667380622726	0.03439555064553729
8	0.01820721904412986	0.020651889826977986	0.02612761030976837	0.021683268012979824
9	0.009412930079548382	0.013001568641654773	0.012440404033861173	0.012113653713486536
10	0.003374417910926527	0.0071215229669328054	0.004656002820586908	0.005552206269746311
11	0.001875995797668199	0.0047248625441770765	0.0026663186691197405	0.0034897133249724268
12	0.0008008423317787558	0.0020387309846040366	0.000958002864001545	0.0014643158589755128
13	0.00023133623930202257	0.0007553534251134445	0.00029288280184847554	0.0004783208864302796
14	2.9037243304411594e-05	0.00013469498970592348	4.660952252645151e-05	7.714178736472555e-05
