institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.018	0.159	0.014	0.199
1	0.022	0.170	0.018	0.224
2	0.037	0.204	0.034	0.301
3	0.043	0.227	0.043	0.349
4	0.053	0.234	0.046	0.384
5	0.054	0.201	0.039	0.354
6	0.049	0.241	0.034	0.371
7	0.054	0.221	0.038	0.364
8	0.060	0.242	0.041	0.410
9	0.055	0.243	0.044	0.403
10	0.050	0.158	0.083	0.368
11	0.048	0.129	0.070	0.325
12	0.045	0.149	0.055	0.343
13	0.038	0.096	0.065	0.298
14	0.047	0.101	0.053	0.284
15	0.052	0.132	0.073	0.361
16	0.045	0.084	0.065	0.252
17	0.044	0.089	0.070	0.258
18	0.040	0.052	0.048	0.174
19	0.039	0.083	0.055	0.215
20	0.033	0.046	0.051	0.153
21	0.032	0.055	0.064	0.177
22	0.035	0.085	0.051	0.200
23	0.043	0.154	0.049	0.301
24	0.055	0.245	0.049	0.416
25	0.056	0.228	0.054	0.412
26	0.062	0.290	0.033	0.450
27	0.060	0.211	0.029	0.356
28	0.018	0.067	0.030	0.126
29	0.024	0.007	0.012	0.051
