institution_count	pct_pop_18_to_64_latinx	pct_pop_18_to_64_white	pct_pop_18_to_64_black	pct_pop_18_to_64_all
0	1.0023966177658494	1.0091725759858652	0.9979065994684654	1.0035289942648553
1	0.9473006566310492	0.8816438112984262	0.952027933893442	0.9265156472577686
2	0.8466282280178543	0.6865426247924308	0.8606834859950031	0.7932067390031663
3	0.7777833311068106	0.5913186820864518	0.7840145142621869	0.7127289556197148
4	0.6683062313993029	0.5106708246314045	0.661525251123536	0.6120036048226317
5	0.47471282701305234	0.3659297887058657	0.5113192353473275	0.44745875279150105
6	0.35261959328859754	0.2558481840452624	0.3725593341556435	0.32327836976239227
7	0.14466828394528064	0.10149847137327274	0.16384464145865316	0.13410427389854382
8	0.0740553209452122	0.03423482414500847	0.07126238229121755	0.05736561951649908
9	0.024028298225475885	0.003101013910761172	0.015388712452462318	0.013209225221120932
10	0.0014987804167570422	0.00015754327771359285	0.0011292287474588688	0.0008240911541591655
