institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.045	0.174	0.045	0.314
1	0.055	0.228	0.046	0.406
2	0.070	0.408	0.054	0.629
3	0.076	0.394	0.041	0.767
4	0.057	0.549	0.038	0.821
5	0.028	0.380	0.018	0.452
