institution_count	pct_pop_18_to_64_latinx	pct_pop_18_to_64_white	pct_pop_18_to_64_black	pct_pop_18_to_64_all
0	1.0023966177658497	1.009172575985865	0.9979065994684652	1.0035289942648553
1	0.40368990340329497	0.23918439902473027	0.4023625649157346	0.33741108931637065
2	0.27451333408012774	0.17881220036422266	0.2860036813713729	0.24007497720690915
3	0.19863894540772198	0.1514862823228892	0.20628036840295158	0.18437020721727773
4	0.1399530493383122	0.13052460902755503	0.14313544851214313	0.13949946583678988
5	0.1100505626073294	0.11783337187613863	0.10572089887509535	0.11524706828956752
6	0.08465203777209354	0.09863976055397125	0.07836244023373513	0.09161132403870678
7	0.04898224307475963	0.06972098915355292	0.046214869093030235	0.05921677783738952
8	0.029143770209862325	0.03757063119082475	0.025016230919644025	0.03322770662073986
9	0.0012720362756858904	0.003903147793858783	0.0008409851039765433	0.002607236318946493
10	3.9218790049005515e-05	4.644042253162053e-05	6.643561948331524e-05	4.8541171142595926e-05
